timestamp,event,epoch,child_pid,child_rss_mb,swap_used_mb,free_plus_inactive_gb,memory_pressure,checkpoint_state
2026-08-06T23:01:14+03:00,swap_warning,,85468,808.0,2390.38,1.22,29% free,training
2026-08-06T23:01:29+03:00,poll,0,85468,473.0,2390.38,1.11,27% free,training
2026-08-06T23:01:29+03:00,swap_warning,,85468,473.0,2390.38,1.11,27% free,training
2026-08-06T23:01:44+03:00,poll,1,85468,570.6,2390.38,1.15,27% free,training
2026-08-06T23:01:44+03:00,swap_warning,,85468,570.6,2390.38,1.15,27% free,training
2026-08-06T23:01:59+03:00,poll,1,85468,488.9,2382.38,1.05,25% free,training
2026-08-06T23:01:59+03:00,swap_warning,,85468,496.2,2382.38,1.06,25% free,training
2026-08-06T23:02:14+03:00,poll,1,85468,564.5,2382.38,1.06,25% free,training
2026-08-06T23:02:14+03:00,swap_warning,,85468,564.8,2382.38,1.07,25% free,training
2026-08-06T23:02:29+03:00,poll,1,85468,537.7,2382.38,1.05,25% free,training
2026-08-06T23:02:29+03:00,swap_warning,,85468,539.5,2382.38,1.05,25% free,training
2026-08-06T23:02:44+03:00,poll,1,85468,550.0,2396.12,1.08,26% free,training
2026-08-06T23:02:44+03:00,swap_warning,,85468,550.0,2396.12,1.08,26% free,training
2026-08-06T23:02:59+03:00,poll,1,85468,456.4,2396.12,1.07,25% free,training
2026-08-06T23:02:59+03:00,swap_warning,,85468,456.4,2396.12,1.07,25% free,training
2026-08-06T23:03:14+03:00,poll,1,85468,531.6,2396.12,1.07,25% free,training
2026-08-06T23:03:14+03:00,swap_warning,,85468,531.6,2396.12,1.07,25% free,training
2026-08-06T23:03:29+03:00,poll,1,85468,573.7,2406.38,1.05,25% free,training
2026-08-06T23:03:29+03:00,swap_warning,,85468,575.4,2406.38,1.05,25% free,training
2026-08-06T23:03:44+03:00,poll,1,85468,604.6,2406.38,1.07,25% free,training
2026-08-06T23:03:44+03:00,swap_warning,,85468,604.6,2406.38,1.07,25% free,training
2026-08-06T23:03:59+03:00,poll,1,85468,523.0,2406.38,1.27,30% free,training
2026-08-06T23:03:59+03:00,swap_warning,,85468,523.1,2406.38,1.27,30% free,training
2026-08-06T23:04:14+03:00,poll,2,85468,0.0,2406.38,3.58,54% free,training
2026-08-06T23:04:14+03:00,swap_warning,,85468,0.0,2406.38,3.59,54% free,training
2026-08-06T23:04:14+03:00,child_exit,2,,,2406.38,3.58,54% free,rc=0
2026-08-06T23:04:17+03:00,reclaim_pause,2,,,2406.38,3.51,54% free,between_children
2026-08-06T23:04:37+03:00,reclaim_done,2,,,2406.38,3.4,56% free,between_children
2026-08-06T23:04:37+03:00,child_start,2,85824,1.4,2406.38,3.39,56% free,resume
2026-08-06T23:04:52+03:00,poll,2,85824,389.9,2406.38,2.94,59% free,training
2026-08-06T23:04:52+03:00,swap_warning,,85824,389.9,2406.38,2.94,59% free,training
2026-08-06T23:05:07+03:00,poll,2,85824,680.3,2406.38,1.34,32% free,training
2026-08-06T23:05:07+03:00,swap_warning,,85824,680.3,2406.38,1.34,32% free,training
2026-08-06T23:05:22+03:00,poll,2,85824,597.1,2406.38,1.35,32% free,training
2026-08-06T23:05:22+03:00,swap_warning,,85824,495.8,2406.38,1.34,32% free,training
2026-08-06T23:05:37+03:00,poll,2,85824,474.7,2398.38,1.34,32% free,training
2026-08-06T23:05:37+03:00,swap_warning,,85824,474.7,2398.38,1.37,33% free,training
2026-08-06T23:05:52+03:00,poll,2,85824,500.8,2398.38,1.28,31% free,training
2026-08-06T23:05:52+03:00,swap_warning,,85824,501.4,2398.38,1.28,31% free,training
2026-08-06T23:06:07+03:00,poll,2,85824,501.2,2398.38,1.14,27% free,training
2026-08-06T23:06:07+03:00,swap_warning,,85824,501.2,2398.38,1.14,27% free,training
2026-08-06T23:06:22+03:00,poll,2,85824,519.6,2398.38,1.17,28% free,training
2026-08-06T23:06:22+03:00,swap_warning,,85824,519.6,2398.38,1.17,28% free,training
2026-08-06T23:06:37+03:00,poll,2,85824,527.6,2398.38,1.25,29% free,training
2026-08-06T23:06:37+03:00,swap_warning,,85824,527.8,2398.38,1.25,29% free,training
2026-08-06T23:06:52+03:00,poll,2,85824,516.2,2398.38,1.2,29% free,training
2026-08-06T23:06:52+03:00,swap_warning,,85824,514.2,2398.38,1.2,29% free,training
2026-08-06T23:07:07+03:00,poll,2,85824,479.1,2398.38,1.14,27% free,training
2026-08-06T23:07:07+03:00,swap_warning,,85824,479.3,2398.38,1.14,27% free,training
2026-08-06T23:07:22+03:00,poll,2,85824,888.0,2398.38,1.33,32% free,training
2026-08-06T23:07:22+03:00,swap_warning,,85824,888.8,2398.38,1.32,32% free,training
2026-08-06T23:07:37+03:00,poll,2,85824,488.6,2398.38,1.13,27% free,training
2026-08-06T23:07:37+03:00,swap_warning,,85824,488.6,2398.38,1.13,27% free,training
2026-08-06T23:07:52+03:00,poll,3,85824,507.7,2398.38,1.18,28% free,training
2026-08-06T23:07:52+03:00,swap_warning,,85824,508.6,2398.38,1.18,28% free,training
2026-08-06T23:08:07+03:00,poll,3,85824,535.1,2398.38,1.21,29% free,training
2026-08-06T23:08:07+03:00,swap_warning,,85824,535.1,2398.38,1.21,29% free,training
2026-08-06T23:08:22+03:00,poll,3,85824,550.2,2398.38,1.19,28% free,training
2026-08-06T23:08:22+03:00,swap_warning,,85824,543.7,2398.38,1.19,29% free,training
2026-08-06T23:08:37+03:00,poll,3,85824,531.3,2398.38,1.18,28% free,training
2026-08-06T23:08:37+03:00,swap_warning,,85824,531.3,2398.38,1.18,28% free,training
2026-08-06T23:08:53+03:00,poll,3,85824,511.9,2398.38,1.18,28% free,training
2026-08-06T23:08:53+03:00,swap_warning,,85824,512.6,2398.38,1.18,28% free,training
2026-08-06T23:09:08+03:00,poll,3,85824,557.8,2390.38,1.17,28% free,training
2026-08-06T23:09:08+03:00,swap_warning,,85824,557.8,2390.38,1.17,28% free,training
2026-08-06T23:09:23+03:00,poll,3,85824,532.8,2390.38,1.14,27% free,training
2026-08-06T23:09:23+03:00,swap_warning,,85824,532.8,2390.38,1.14,27% free,training
2026-08-06T23:09:38+03:00,poll,3,85824,451.7,2390.38,1.03,24% free,training
2026-08-06T23:09:38+03:00,swap_warning,,85824,453.9,2390.38,1.03,24% free,training
2026-08-06T23:09:53+03:00,poll,3,85824,443.1,2395.31,1.12,26% free,training
2026-08-06T23:09:53+03:00,swap_warning,,85824,443.4,2395.31,1.12,26% free,training
2026-08-06T23:10:08+03:00,poll,3,85824,387.1,2395.31,1.28,31% free,training
2026-08-06T23:10:08+03:00,swap_warning,,85824,387.5,2395.31,1.28,31% free,training
2026-08-06T23:10:23+03:00,poll,4,85824,0.0,2395.31,3.35,53% free,training
2026-08-06T23:10:23+03:00,swap_warning,,85824,0.0,2395.31,3.35,53% free,training
2026-08-06T23:10:23+03:00,child_exit,4,,,2395.31,3.35,53% free,rc=0
2026-08-06T23:10:25+03:00,reclaim_pause,4,,,2395.31,3.26,53% free,between_children
2026-08-06T23:10:45+03:00,reclaim_done,4,,,2395.31,3.02,54% free,between_children
2026-08-06T23:10:45+03:00,supervisor_end,4,,,2395.31,3.02,54% free,epoch_limit_reached
