split,file,source_split,base_identity,sha256,width,height,boxes
train,biodegradable1661_jpg.rf.17125138245253d23ca2e9242c430bf9.jpg,train,biodegradable1661,ff74ce5014314d4a6bf9855c4afab97f4fad12d7a1640423d1852a2e2852224c,416,416,1
train,biodegradable1678_jpg.rf.a48943353cedc8c4b3bc1dbe27e31294.jpg,train,biodegradable1678,d86137afd346bd4ed0aa42871d9b620f1046e172d9db42a567eddec870f098ac,416,416,1
train,biodegradable1681_jpg.rf.a66c7132e477da565f4b01229871de7d.jpg,train,biodegradable1681,0d7993eaaf1d9beebe25bfc2c05c448e15d45a9b2b7c9d745bf3234497fe4588,416,416,1
train,biodegradable1698_jpg.rf.fede4f2fa284ad4fc6e3cb7926a82ada.jpg,train,biodegradable1698,c5323d2f3f38cd2333398568f6da43b827b3ec8ed6e7d94fc5bad6666b65f9dd,416,416,1
val,biodegradable1702_jpg.rf.1ca68be16312138dc012a9924127ff2c.jpg,train,biodegradable1702,f4f1fcbea12322dd2560c4ac189a53692c84ee82defde49575e097bee2df9f1c,416,416,11
train,biodegradable1705_jpg.rf.a8dff34d57aa067a1eb223bbf26d764d.jpg,train,biodegradable1705,bf69ab58235db3df0290f1a21ff402a73aba129513381600c3aee5da930a8d55,416,416,8
test,biodegradable1720_jpg.rf.433f3495fa21306124396c95e0fd2003.jpg,train,biodegradable1720,543873169180ef6dc1e283ee8de7721cc8b508d80ccc3963d874d0175518f89f,416,416,2
train,biodegradable1725_jpg.rf.ef7d03d675f8520c799f4acb2a610245.jpg,train,biodegradable1725,7a48359c7ae8b2183d7e8b9c4308fecf87dd5315347ee90bb6d6d5e55873e072,416,416,1
train,biodegradable1733_jpg.rf.9d91bd02360f7692dc03ca1294074241.jpg,train,biodegradable1733,92ec3730e86eb84ba6a6a78fb86eb2344de1105ecd9806c5be6b4ff3d62ef25c,416,416,1
train,biodegradable1739_jpg.rf.f081401a404055da1f2c4d39a54005b0.jpg,train,biodegradable1739,ca55f6e1ebf5db719a41c488608656c94cc8424466b194fd67bf0ed9482ef895,416,416,8
train,biodegradable1777_jpeg.rf.875f3c551ba76cc5de216246b7168390.jpg,train,biodegradable1777,630cc036c8fc61831071c5aa5c6f3b383caf3d66760a727db78953588fac0d2c,416,416,1
train,biodegradable1794_jpeg.rf.2f224e41b39aee63c1b08f865ac5e632.jpg,train,biodegradable1794,57260c0f7eb91ea64aa966be6c9c927ecd0b5dcb820729dc078d87d539298b82,416,416,1
train,biodegradable1819_jpeg.rf.7b3f420f7f484b302b91e264583d0079.jpg,train,biodegradable1819,78aabff335f0912a57c90d6214a8929b18e3b85344d9e603895d51c0a6234811,416,416,1
train,biodegradable191_jpg.rf.02f5d7c6e5285dd48dc3bacd19ca546e.jpg,train,biodegradable191,a30b32573a8450e27ed1f2fa9b83eb1b6ef26087abae51f238806f2f7ef455ce,416,416,6
train,biodegradable1925_jpeg.rf.0e19a31cff85fb232e087e3deaed2e49.jpg,train,biodegradable1925,9ae561347eb41ec5763922a84214c1dbfc5472fa2677e65377da571dc77019b6,416,416,1
train,biodegradable1947_jpeg.rf.890d009f613d19a52e1a2dc82dc2f7b3.jpg,train,biodegradable1947,246e0859d9771ea9aa42e80b86218f281961b6177d52306dcaa7232c701f6412,416,416,1
train,biodegradable1967_jpeg.rf.c3e9d6ca350b389f7d64468cafbc6514.jpg,train,biodegradable1967,60eea622ca81dd8396c044fd4ba83b57cdec88fc629b4b2f633d913614377242,416,416,1
train,biodegradable1995_jpeg.rf.e18699764c73e2d97a0807e5f60f46f3.jpg,train,biodegradable1995,0744fd8d31acb31018bc36d51277908cc0faf95a797605d75276eaf8e029301e,416,416,2
train,biodegradable1999_jpeg.rf.0d7260354626a1b79e9feb62e0a689c9.jpg,train,biodegradable1999,e8dad495841066b07025782fce9ac1e0f06aecc177fa766255c51b3dd60f4c1b,416,416,3
val,biodegradable2012_jpeg.rf.f157a4549b3da5de53b7d15eb8ed051d.jpg,train,biodegradable2012,8c0bae12c98e418e6f2d548ca20da3b5edcd547cb1c1a02654a72475cb608592,416,416,2
train,biodegradable2044_jpeg.rf.335e350a3a88e8855c9e96da9ccb2467.jpg,train,biodegradable2044,7a4495bece51599b5dc69b49f7cd6a5b82f45e40bb62aec0a987914d2864c182,416,416,1
train,biodegradable2059_jpeg.rf.2a73cc2f15b61c5961878b915d0b3f69.jpg,train,biodegradable2059,aae4081fa980e206e673ebf034fc3d4d1c3d6299665419c7e8a7fb41855ca845,416,416,2
train,biodegradable2102_jpeg.rf.f57bafe80cebffd74cf81a4bfa4a309e.jpg,train,biodegradable2102,81a445892a06ace4aa3a94c1d5a34331e676c9ada8678b6e8a648298430aa9c8,416,416,10
test,biodegradable2128_jpeg.rf.67cf43bd92ce3e71c8ca4672a833991e.jpg,train,biodegradable2128,fd65c254b3ce13119c0ac7fc73cb57d1890e121aa3e13dfe741918b8a374519b,416,416,4
train,biodegradable2149_jpeg.rf.82324cef864253c46ccfc8a7dd67de7b.jpg,train,biodegradable2149,38d80000ef5eab23d749d42957bbfc7a46d8516d0f57f90c4f43b705ef48d060,416,416,1
train,biodegradable2150_jpeg.rf.2f24a12dde25bedff9f7efaadcf70347.jpg,train,biodegradable2150,ed8c0909c4d1c372438aaecbc5868ffff7da98102affe5b9835eed5f9358f598,416,416,2
train,biodegradable2152_jpeg.rf.98da6b37f9609ab272fcc433dcb7e0c1.jpg,train,biodegradable2152,f1f89c726772f08c65cf230d973c13395517e75b3feb8c23ad9c4eedf2f19a5d,416,416,1
val,biodegradable2153_jpeg.rf.e38d0bb98104c2c41c5d4b3455230777.jpg,train,biodegradable2153,76c78037988e08596221339083aaa70fd7f40ee5f1eba1c28d9013a0792c3678,416,416,18
val,biodegradable2159_jpeg.rf.af60e090c11c0b94516310c9e9faca29.jpg,train,biodegradable2159,c789609f309084102f0303bc4a17c467020129dfff16e75f45fb55f196acb229,416,416,2
train,biodegradable2161_jpeg.rf.87145fafec69a46e2eb9ef838f95b810.jpg,train,biodegradable2161,f11512c7554530a1d0d732813f484f74c67ddf477a1e7c8cd708a9950e8214d6,416,416,1
train,biodegradable2164_jpeg.rf.a49b695de20ec6ee91a811585fb92ec2.jpg,train,biodegradable2164,4f1ca38ad80e88c3dc6ff9d8a31f73f200229767a223b9fcdd2c5b7ff0cf7169,416,416,2
train,biodegradable2190_jpeg.rf.15de0aa38cb90682a7b93d0d15167503.jpg,train,biodegradable2190,a544c5d261e753326c91d7742b3f95d0849be157c2b49aad38d6c59f18dad498,416,416,1
train,biodegradable2192_jpeg.rf.01a704196bcf63580afc3c01248461e1.jpg,train,biodegradable2192,c9498c49f3e196a6775a50b9dac4577f400bcc0bcf90d040991731dad9537f58,416,416,1
train,biodegradable2217_jpeg.rf.9d0638726fa3025584efe62f37c334f9.jpg,train,biodegradable2217,da34389d81d683983c2d6122831e7b450b36e415113335c6bede46ab75d0d352,416,416,6
train,biodegradable2218_jpeg.rf.61f44ed976bb8d474a6b4443cbd5bce8.jpg,train,biodegradable2218,a10fac6c3148156e6acc318abb85e77d845588faa62c4c381aa7b4922646eca5,416,416,1
train,biodegradable2237_jpeg.rf.3e0f4141c987a4c84648fcdb631b7622.jpg,train,biodegradable2237,9ecd1cf9dcd40600432750d66fc9cf7a08eb9d034d5d6bf887d90e1f51dbdde9,416,416,8
train,biodegradable2248_jpeg.rf.3065afb982bb047b330d89abac0888d8.jpg,train,biodegradable2248,980d2c6435a407ba8e8bbb2de7a512d402b391eae7599448badfca710f1fe52e,416,416,1
train,biodegradable2265_jpeg.rf.c364e7c1efb3a5f92874e22eb37fe0b1.jpg,train,biodegradable2265,d606bb0747bde3578dc580473d64f604793680f982dfd4e9ce6f2bd84a512789,416,416,11
train,biodegradable2276_jpeg.rf.eea63e7d3c8ddf8a6faab796341c6df1.jpg,train,biodegradable2276,4552ca77c62cb0dd72457e195e183e7d6f8dcdaa501c3053b13a40511a60c6a9,416,416,1
train,biodegradable375_jpg.rf.d7b3363bc56f611d4a077a263a10cb45.jpg,train,biodegradable375,a9fe0d9331536191514defc4121d3fb0cc39baa7b9dadd1419b842b5625428c8,416,416,1
train,biodegradable478_jpg.rf.6b8b9ad685a43b5bc54023c78b7d23e2.jpg,train,biodegradable478,c4da4449a22927f6285ed038df660d60b2cf3cd554e18338ffd742287f837dd2,416,416,2
train,biodegradable479_jpg.rf.96e036ef46ff7582d15a30401d8e6e20.jpg,train,biodegradable479,fa7b2ae259aaf71e085fa53917c8855b14db6500d3c22202a47cc8c9124218ef,416,416,1
train,biodegradable495_jpg.rf.b010cd1dda4a9ddb91f43322e11cb5b2.jpg,train,biodegradable495,cb19e9f30dcf0063021dc6f60205736b84f4d374aa01e9a301f4ead0bcb76a98,416,416,3
test,biodegradable511_jpg.rf.d740edb6af88f7086530b0ecd0269091.jpg,train,biodegradable511,0f3ca4eb72dbb84e122767e5722213c230dc831a63836e915d3441b448f7c385,416,416,4
train,biodegradable558_jpg.rf.42c86051a62bb25e1f443909ea36c60f.jpg,train,biodegradable558,9b3a71435a9ed99b6c2971d464b781d19138627583c713ae56bed4398c097abd,416,416,5
train,biodegradable646_jpg.rf.40f84f22bf1b30f64e5da208e58a60a3.jpg,train,biodegradable646,fb7569b20fdb155c0fa4e07b15df32b837c71f4bfa787b85b1f74505b200be42,416,416,2
train,biodegradable695_jpg.rf.26c6542a1e62f4c74d179f9a74cc2b13.jpg,train,biodegradable695,cb49039f012527a52b15c4ea2b9bb11e2db6498b1115c98a93bea9e13bb2ab8b,416,416,5
train,biodegradable760_jpg.rf.8d9394cf84f88ddd1b2b51f1b4541de2.jpg,train,biodegradable760,3fa1bfd7eec035a2566db6638cd36d225530517603d1caf7a460d4871058635a,416,416,1
train,biodegradable763_jpg.rf.cd067baa3e1cefd8e3acb91aab4b1988.jpg,train,biodegradable763,0bc18d35e3849a86e00f2e9f63e16d6988b6398325736ffebfcd11361fea86e8,416,416,1
train,biodegradable823_jpg.rf.291f48f5e7028e9075648011e3036694.jpg,train,biodegradable823,8b33c3ec375bcec89a828b078270abb0b46aa6028680592ad58a7062a83982ba,416,416,1
train,biodegradable989_jpg.rf.843a28fad7035884c234bfd648df5239.jpg,train,biodegradable989,1f05136b9cf31021c3ced0a1dcf2328f9b6216326f53ecc5f4a7de9f6befa73c,416,416,1
train,biodegradable999_jpg.rf.9ed9dcb34ec1e0696fa932b6d65e42ff.jpg,train,biodegradable999,2cc0ce96c48ce76ad4e82326d1787bc1748f512c6201fca922541d3e201dda72,416,416,1
test,cardboard1099_jpeg.rf.0b5e1b1d1570363e62d6a944f3e0069e.jpg,train,cardboard1099,064856f1a50fad0bf3e4af7e198d116417edb69b893fc1ded539d96d1dc4e8bb,416,416,1
train,cardboard1339_jpg.rf.0cbf4aeff153a995010205db453bfa4b.jpg,train,cardboard1339,c93dd423747596908cf4a061a130809a6712f62a1c09a9daa5545ba3e043984a,416,416,1
train,cardboard1340_jpg.rf.0a1e15cb29b02435d835b388488ac04a.jpg,train,cardboard1340,41c1ca48942bf599c9c4b862eee67a2a6604d7c5c0a8d143cd8ff3b2857652d2,416,416,1
train,cardboard1357_jpg.rf.279ad31b702d346366c640a05c8dda7d.jpg,train,cardboard1357,d9e4892fcffb499f267c9fce3f7fdd564797411772f7bf67f4ddc4f8f7c0ae85,416,416,6
train,cardboard1440_jpg.rf.4cf250a4b16bcde7f5244920a351ec2c.jpg,train,cardboard1440,94a371bcae6d682ac846ea8731ac5f4a2c12d03022e9d1864a230f01557f599a,416,416,1
val,cardboard1478_jpeg.rf.143177b8188cf0f92ce584e2b71c34d2.jpg,train,cardboard1478,f6b39c7d0f8c90e147901b3de2664a14fd78233a95adfbd64ffe8ef7fb9108fc,416,416,1
train,cardboard1511_jpg.rf.97547029d20b0a09a7b71e0f87853fe0.jpg,train,cardboard1511,7d0c7f0a3d848a90f938d841f2040ed5b4c7728bc88892f4a12c983066a0d8c7,416,416,1
train,cardboard1526_jpg.rf.b73eccbff5b4a14c2bc3774035c0b351.jpg,train,cardboard1526,05508738148548290d3b35db2cb563c97f412a4639ca77038c9b5d7fff3af26a,416,416,3
train,cardboard1640_jpg.rf.f54f322c4cd202c23d15614b40c156a2.jpg,train,cardboard1640,dfc5495bb84fcac0fe0a57a0c3f59e740fab053ac0ba08bbcdecf87023929d00,416,416,5
train,cardboard1668_jpg.rf.2d7b82470787f2143fee2332b54b45c9.jpg,train,cardboard1668,750285ed89e549a738aadb29e5aa8c82d6f4385dea929233061fb74919ee3f62,416,416,6
train,cardboard1670_jpg.rf.af731ed13531cda4c9b9484d4736ae06.jpg,train,cardboard1670,55fc48c4558ccbb81acb74a0098290e1a14dad203a642bf991e555e1579fdc4f,416,416,5
train,cardboard1711_jpg.rf.770d8a98d3d28c588494a0e90a862e49.jpg,train,cardboard1711,9bb9560215f5142579a59ac994822a5aa35222f49b65224a964bcde7be95607d,416,416,6
train,cardboard339_jpg.rf.e108860b07dc05a178400b53589571a1.jpg,train,cardboard339,76633c719f9aa9b97e2d3c5a7029389b85bf0d434120370df6d6cce1bfaff25a,416,416,1
train,cardboard593_jpg.rf.55cc3cbbf9a2bd07f9f3be408c3b50f0.jpg,train,cardboard593,ea5cd53f39cb9840af94cba3057fea71cbe84f0732a0c30191f6230e94da2de3,416,416,4
train,cardboard672_jpg.rf.eb5332df37e02b9c31c4449756ed1a63.jpg,train,cardboard672,5b85baa87a9cca9853faf4a96b580e66bbccff0c2f9a61fd7e7cb1be828c457e,416,416,2
train,cardboard698_jpg.rf.56b006de88a06a65eb181c0959ae0593.jpg,train,cardboard698,566f5f57ea411371ab231de785bb8b2e00513bce36d46a9236f2dbfdc13363ad,416,416,1
train,cardboard803_jpg.rf.78341f757ca0464170281e0526c0783b.jpg,train,cardboard803,ba5a7d810a324f9b40fae48a829f2de5661b507953078042684a1cf72cdb1c05,416,416,1
train,cardboard823_jpg.rf.225407684bd4d2f4ac7c3d7c215c77ab.jpg,train,cardboard823,63e6702064186917bcaca3b0207d8c084be5e6616d997ab8d64d27bc2029508d,416,416,1
train,cardboard859_jpg.rf.6642f6d753c07ef41beb3f85faed4c08.jpg,train,cardboard859,fc002166cddeb0aa03b04823407f87b660df49b2ac65acc7621962eb7871ce64,416,416,2
train,cardboard863_jpg.rf.80c6755050cada98ebd07484b4643da8.jpg,train,cardboard863,af1a7138752fe0e811b3c811ea7d1f757878b254750be58878ea8876ab18b6ea,416,416,10
train,cardboard900_jpg.rf.7f128eb7791b67d568ecd6bf98e275c7.jpg,train,cardboard900,468d507e5ce6b98657402a4b33fceb1087650681a4bd3f4a0e5c802098df67e0,416,416,2
train,cardboard959_jpg.rf.e12f0e06e6c93e7f29091ea284c7aa29.jpg,train,cardboard959,bf13214d26cc88bf00a76f90c1886413e96e8efd7f4d4ccf8f2352d203c6d392,416,416,18
val,glass101_jpg.rf.b811294116d90c8be4d0177fef175d8e.jpg,train,glass101,933cb3269db427287abce296489ca199d37f3eeef577ffa2aba82f66223af524,416,416,1
val,glass1022_jpg.rf.47f323291334031c128c74369dbe1752.jpg,train,glass1022,a054886b6f329b571aea916f1d2ca923c8683f979affa2d26c6ebf6aed4245e3,416,416,1
train,glass1055_jpg.rf.a667b06cdd1f49c37f606e7822405e01.jpg,train,glass1055,824f60d4c43b155e30bd02aaecb9021140cbc9718c1cc3f40bca50cfdf25875d,416,416,1
train,glass1067_jpg.rf.3a4c90a71e6af5f5218645b4906808fd.jpg,train,glass1067,b33958b75bc837a1208484d2bdb0a7c66c6b47fbf94bcbdf45cb6c43cea04212,416,416,1
train,glass106_jpg.rf.58221ac339ffa3024e6048c303e96016.jpg,train,glass106,ea3c04bba86eeee71dfb024ff1974bae6927b72adecece40f42aae8dea5d8c24,416,416,2
train,glass1089_jpg.rf.3819e7827aab9f3c0026389170dfeb57.jpg,train,glass1089,20dff6c706aa1802a40b4320f0d26283a75a0bf0bcdbb0b83d18f67ed3dc95c6,416,416,1
train,glass109_jpg.rf.77c33e40ff2e98275e95e2037be37498.jpg,train,glass109,0d7b77a71ec0ef9fd75484c49108d1506ac9298124179d8f977a9a1b2ba56ced,416,416,1
train,glass1112_jpg.rf.98ec59c656dedd6f95e755a8c1e846d3.jpg,train,glass1112,6edb0d75c8e8534c32361ab61b147389e038290eedb508ea6778b4fc5818b3e6,416,416,6
train,glass1130_jpg.rf.55df77743e574f163fb821cb794773db.jpg,train,glass1130,8d6a0c0f0c68171aa7e9e916ae3842f9daa48d8471250e24e08ff788e9a2e882,416,416,1
train,glass1136_jpg.rf.27f3b0f33ffd82eeacd6b04693b299c7.jpg,train,glass1136,04d440f7c42c70331c5726236c6bc728fa841006309318200fec09a823087f52,416,416,5
train,glass1150_jpg.rf.5f2ff7593fff808ec2d292ab43efaa0f.jpg,train,glass1150,fc5e91bad445db2a850b342c9f65c56c120d04c15d770b0d15469749df24681a,416,416,1
train,glass1154_jpg.rf.617ba5ffe895a679ba73cc9d387e78ca.jpg,train,glass1154,cac491cf8d6f5cdb970123b954ed6520157d0204b2129924185baf2a42776710,416,416,1
train,glass1157_jpg.rf.677309eaa42b042c9c481d0aa27cbf33.jpg,train,glass1157,53068d75eada07a3ff08c6879280a213dc695082429d66197089325dd8ea7dca,416,416,1
train,glass1159_jpg.rf.25f7eb63ff607651eae3e21c272a2488.jpg,train,glass1159,38b0500c4720b757ae028f24053a078fe899395ab320023ce4d96a88f0aaf6fc,416,416,1
train,glass115_jpg.rf.e3236c1c8015d1798b9559e04ec1349d.jpg,train,glass115,1aec40169c9ee1fadf292037665ce1ed832e437c387c575678ddd3897d9ff501,416,416,1
val,glass1162_jpg.rf.63cc94e9eac7f3d69092d76c8b893647.jpg,train,glass1162,cace23368acd0bd2dc4fc867c4604746333952631a2ffb0c5441ed925e845ddb,416,416,1
train,glass1163_jpg.rf.17e6d5f5190ccdbd8ca5e9368af10dde.jpg,train,glass1163,6c1a58b9c2e9354e900cb24837beb7f7d5f936694b911c3b42054ffd456f6ae1,416,416,1
train,glass1167_jpg.rf.5307e9cadb8d93b3c66c0664a1213292.jpg,train,glass1167,12f0d7d4f80d3792384fc7925a2b3c781bc8581da6000ddce719f2bc8bde0d4e,416,416,1
train,glass1171_jpg.rf.243f1dfbe896adb92a668240757cf3c6.jpg,train,glass1171,9fd7bf2df2d4780eef62de6b5f93ca6bbd6656c3d410c4cc85e4cf2a9ecd75d8,416,416,3
test,glass1174_jpg.rf.f03c59cec1ff152f08eac36f6156d36b.jpg,train,glass1174,b5c1372babab3e156f41084c2e5f3a196f93d1b70926fd43b16c1e2da694ece4,416,416,1
train,glass1175_jpg.rf.9145f19389ec99851a0807b7d6f2913a.jpg,train,glass1175,a1c9122aebbc42e3a114c63c133481aa1a2fe994f76960d9c128efdb64060534,416,416,1
train,glass1179_jpg.rf.9810f0dc75de16a72cc76d81974e6c2e.jpg,train,glass1179,85ef95c0bf1ce4ecb0c0d7d586bba06f51a1a131c9ae148e1f70ad8581231350,416,416,1
val,glass1182_jpg.rf.f0ac7c69f42677ff794c2d33da9dc271.jpg,train,glass1182,6e8985b87d758a8705f318dc93874eee10cb02bf3bc8859f1c343c6a1324b3fe,416,416,1
train,glass1198_jpg.rf.a42b016d519a4704b42b4f0994f039ce.jpg,train,glass1198,eae1c9212e7c418993f64a6427d906ee268a111b5dbbe79da850a4b99dc6328d,416,416,1
train,glass1200_jpg.rf.44a3085943bae7e39d2023e10e87307e.jpg,train,glass1200,825aec5567c52d94b5e19dc76825224859f32b7b229392b64c563db72aa39434,416,416,1
train,glass1202_jpg.rf.36ae291b6f8e54f9b0b0624125d474b4.jpg,train,glass1202,adbcbbde375e695783f5aaae66685a0248773e4d7977419801f1ea9fd866b24d,416,416,9
train,glass1209_jpg.rf.2275b5174538ab1887386b6c14f7b497.jpg,train,glass1209,5a990387c1abf847074e27ff188fbfa3b7253be59d62e8017c0dea8081cda739,416,416,1
val,glass1211_jpg.rf.ac47a963c7bf746411e8e173ee2d385a.jpg,train,glass1211,ddeec9a8d86c5e7915636d3547cc35d8ad81dbdbd9c5a5cf9227241a729aa175,416,416,1
train,glass1212_jpg.rf.3642f0c4af46f5c0d9b33ea85e08e682.jpg,train,glass1212,544344a6c38eea36efda0052bd70c0526789e5895e21f5a8a7299ee908fedddf,416,416,1
train,glass1217_jpg.rf.1c928c31bb43c31c6360785fc6287865.jpg,train,glass1217,8fef5ed17ca5c8d194e1c7e53108126555a00f236b5655dcc2f0210364d80ea3,416,416,1
train,glass1218_jpg.rf.653dedfddaaf530a97c3891054091c66.jpg,train,glass1218,c930923d90320b1fc6e48b344213daf7d8f90000cf3c63e463be5207c5a03202,416,416,1
train,glass1220_jpg.rf.e8e3603603404c336321fe08cf1b27bb.jpg,train,glass1220,7bf0edb9403658503f64a50b8650c3031630e4f0226f1b5bf1f69d6011dbb485,416,416,1
val,glass1230_jpg.rf.426ba4f2ba31cbb945261b4a8e37e3f4.jpg,train,glass1230,81a043ff381c08c3c25361866fe3c05b36ecc823d4ee0def0589891e31a8cfb6,416,416,1
train,glass1231_jpg.rf.0c5d6768aa7e07667bfc00b15a4e0652.jpg,train,glass1231,2df964cc4224fb13617a50448f77a7696b7e30341b803c1916ab3f9d9a4acd6f,416,416,3
train,glass1232_jpg.rf.607ce516e69c0aa8086bfd2347467713.jpg,train,glass1232,ca8bea69d57d48cb258d9bd3f40c45536e7af7f0a73bdb8c5fd75983d0d99d11,416,416,2
train,glass1236_jpg.rf.92dde4054acc306c3d1f05c6d38367cc.jpg,train,glass1236,eba082910f4e41280208c18694c7f613bb79fa04bdcaca53f44d507aa8076521,416,416,1
test,glass1237_jpg.rf.046ccd1c00a33cdba9261428f0bc0a18.jpg,train,glass1237,6adb78e108e0d152d60f894fc70b0d2a6cb6374c7bb09189643a91f06d489c1c,416,416,2
train,glass123_jpg.rf.06bd2d389f429cd65fafd0606ca87425.jpg,train,glass123,ad595891477c0847a2701d8fbc1d00f1a111ef53aadc91ead7f4fa6988af8347,416,416,5
train,glass1240_jpg.rf.7c88df0be182fcdb82ad771b3a2f91cf.jpg,train,glass1240,b4eb48c54de52a505c5f5b83d71a0301306b259af012c3905773e33746b9e11d,416,416,2
train,glass1241_jpg.rf.a40cdac3c20da45736acaeae6190293c.jpg,train,glass1241,a9d7b881026222e3f530e3598a19e331c43fecbb0dea71fa25321fd548daf0b5,416,416,3
train,glass1248_jpg.rf.975a22aeb91fcc5cab2c8981af281ff9.jpg,train,glass1248,c67338461deb063d7cb11d37ca44449961846599219b8e885f759e4ad398dee3,416,416,1
train,glass1249_jpg.rf.57e79c6a6601877fc404ad62558ae6dc.jpg,train,glass1249,42888792a9bf064e1adabcb6619808fff87c007c24b81976038f191e2f1dcb37,416,416,2
train,glass1251_jpg.rf.7c05dd363edb133bfe369ab5fb5d3a31.jpg,train,glass1251,03df301de3b8480877f26f97f0cc5e6c7c76d6ddd5bd0ec7375a6c89f7226b1d,416,416,1
train,glass1252_jpg.rf.6dee46645b39e5c3e639a1dde4ae03b8.jpg,train,glass1252,efcba3e852d05f768f7c5e018b0b1fa97febacecc7f1bfaf4bd8f136f62692ca,416,416,1
train,glass1255_jpg.rf.46d77877a9f4a1e35af5fa9a58939d2e.jpg,train,glass1255,16cf99e5a515eb76076590f00e22d3a3a1214f95785844c9c929c731766201cd,416,416,3
train,glass1265_jpg.rf.66a9b3f332a8699726d5f1106160ca98.jpg,train,glass1265,210713f50cff6f0d4b0c998a67f2e096cfd3f02eda79b6a5d3b6af78c03eba9a,416,416,1
train,glass1268_jpg.rf.246e34e59d55cfb25f27df71d556c73a.jpg,train,glass1268,acacb2f72cfcebbc16aabc721dc9715649312709a815122d278cb97a7c15f26c,416,416,1
train,glass1269_jpg.rf.2be6d698cfb3fbc04b1a5296ecd69b85.jpg,train,glass1269,1437fbb1da58dd54f8318fece0cdc7bbc1b73a07043c4b5482198d73a1bdad62,416,416,1
train,glass1270_jpg.rf.aca0be8b280e8f303643d44c02aedec8.jpg,train,glass1270,570b98ca9d1fa3613ab26eea1c55030748203f812639fda973de3f455e00ea72,416,416,1
