split,image_id,source_relative_path,prepared_name,annotation_id,class_id,class,coco_bbox_xywh,yolo_xc_yc_w_h,image_width,image_height,relative_area,size_bucket,clipped
test,10,batch_1/000012.jpg,batch_1_000012.jpg,24,1,bottle,"379.00,1127.00,425.00,318.00","0.384841,0.627623,0.276513,0.155198",1537,2049,0.04291412,small,False
test,10,batch_1/000012.jpg,batch_1_000012.jpg,25,0,bag_wrapper,"904.00,1083.00,37.00,26.00","0.600195,0.534895,0.024073,0.012689",1537,2049,0.00030546,tiny,False
train,11,batch_1/000014.jpg,batch_1_000014.jpg,28,3,can,"672.00,1069.00,219.00,161.00","0.508458,0.561005,0.142485,0.078575",1537,2049,0.01119578,small,False
train,11,batch_1/000014.jpg,batch_1_000014.jpg,29,0,bag_wrapper,"401.00,1033.00,273.00,273.00","0.349707,0.570766,0.177619,0.133236",1537,2049,0.02366516,small,False
train,11,batch_1/000014.jpg,batch_1_000014.jpg,30,4,carton,"836.00,1010.00,339.00,207.00","0.654196,0.543436,0.220560,0.101025",1537,2049,0.022282,small,False
train,12,batch_1/000048.jpg,batch_1_000048.jpg,32,1,bottle,"1527.00,460.00,415.00,1033.00","0.846510,0.635329,0.202538,0.672088",2049,1537,0.13612334,medium,False
train,12,batch_1/000048.jpg,batch_1_000048.jpg,33,1,bottle,"579.00,521.00,322.00,921.00","0.361152,0.638582,0.157150,0.599219",2049,1537,0.0941672,medium,False
train,12,batch_1/000048.jpg,batch_1_000048.jpg,34,1,bottle,"211.00,1.00,417.00,1417.00","0.204734,0.461614,0.203514,0.921926",2049,1537,0.18762473,medium,False
train,12,batch_1/000048.jpg,batch_1_000048.jpg,35,4,carton,"1208.00,611.00,369.00,882.00","0.679600,0.684450,0.180088,0.573845",2049,1537,0.10334254,medium,False
train,12,batch_1/000048.jpg,batch_1_000048.jpg,36,4,carton,"863.00,608.00,353.00,860.00","0.507321,0.675342,0.172279,0.559532",2049,1537,0.09639563,medium,False
train,12,batch_1/000048.jpg,batch_1_000048.jpg,37,2,bottle_cap,"1677.00,460.00,211.00,98.00","0.869937,0.331165,0.102977,0.063761",2049,1537,0.00656588,tiny,False
train,12,batch_1/000048.jpg,batch_1_000048.jpg,38,2,bottle_cap,"1325.00,663.00,155.00,115.00","0.684480,0.468770,0.075647,0.074821",2049,1537,0.00565996,tiny,False
train,12,batch_1/000048.jpg,batch_1_000048.jpg,39,2,bottle_cap,"969.00,636.00,146.00,124.00","0.508541,0.454131,0.071254,0.080677",2049,1537,0.00574856,tiny,False
train,12,batch_1/000048.jpg,batch_1_000048.jpg,40,2,bottle_cap,"610.00,521.00,185.00,97.00","0.342850,0.370527,0.090288,0.063110",2049,1537,0.00569807,tiny,False
train,12,batch_1/000048.jpg,batch_1_000048.jpg,41,2,bottle_cap,"212.00,1.00,169.00,103.00","0.144705,0.034157,0.082479,0.067014",2049,1537,0.00552724,tiny,False
val,13,batch_1/000053.jpg,batch_1_000053.jpg,42,1,bottle,"398.00,410.00,1134.00,998.00","0.627846,0.443631,0.737801,0.487067",1537,2049,0.35935837,large,False
val,13,batch_1/000053.jpg,batch_1_000053.jpg,43,2,bottle_cap,"1336.00,410.00,196.00,210.00","0.932986,0.251342,0.127521,0.102489",1537,2049,0.01306952,small,False
val,13,batch_1/000053.jpg,batch_1_000053.jpg,44,0,bag_wrapper,"0.00,1.00,338.00,664.00","0.109954,0.162518,0.219909,0.324061",1537,2049,0.0712638,medium,False
train,14,batch_1/000056.jpg,batch_1_000056.jpg,46,1,bottle,"419.00,8.00,713.00,1854.00","0.504554,0.456320,0.463891,0.904832",1537,2049,0.41974297,large,False
train,15,batch_1/000058.jpg,batch_1_000058.jpg,47,1,bottle,"150.00,328.00,568.00,1304.00","0.282368,0.478282,0.369551,0.636408",1537,2049,0.23518526,large,False
train,15,batch_1/000058.jpg,batch_1_000058.jpg,48,1,bottle,"802.00,405.00,547.00,1404.00","0.699740,0.540264,0.355888,0.685212",1537,2049,0.2438589,large,False
train,15,batch_1/000058.jpg,batch_1_000058.jpg,49,2,bottle_cap,"971.00,405.00,296.00,191.00","0.728042,0.244265,0.192583,0.093216",1537,2049,0.01795185,small,False
test,16,batch_1/000060.jpg,batch_1_000060.jpg,50,3,can,"750.00,244.00,402.00,1467.00","0.618738,0.477062,0.261548,0.715959",1537,2049,0.18725798,medium,False
train,17,batch_1/000003.jpg,batch_1_000003.jpg,52,6,cup,"714.00,1093.00,234.00,237.00","0.540664,0.591264,0.152245,0.115666",1537,2049,0.01760955,small,False
train,18,batch_1/000011.jpg,batch_1_000011.jpg,53,3,can,"522.00,1168.00,240.00,122.00","0.417697,0.599805,0.156148,0.059541",1537,2049,0.00929727,tiny,False
train,19,batch_1/000032.jpg,batch_1_000032.jpg,54,3,can,"503.00,808.00,445.00,357.00","0.472023,0.481454,0.289525,0.174231",1537,2049,0.05044434,medium,False
train,20,batch_1/000040.jpg,batch_1_000040.jpg,56,3,can,"285.00,402.00,472.00,624.00","0.254270,0.464541,0.230356,0.405986",2049,1537,0.09352135,medium,False
train,20,batch_1/000040.jpg,batch_1_000040.jpg,57,3,can,"1450.00,379.00,514.00,612.00","0.833089,0.445673,0.250854,0.398178",2049,1537,0.09988464,medium,False
train,21,batch_1/000043.jpg,batch_1_000043.jpg,60,3,can,"602.00,290.00,865.00,1059.00","0.504880,0.533182,0.422157,0.689005",2049,1537,0.2908682,large,False
train,22,batch_1/000049.jpg,batch_1_000049.jpg,62,3,can,"399.00,502.00,483.00,741.00","0.416721,0.425817,0.314249,0.361640",1537,2049,0.11364479,medium,False
train,23,batch_1/000054.jpg,batch_1_000054.jpg,64,3,can,"184.00,898.00,494.00,854.00","0.280416,0.646657,0.321405,0.416789",1537,2049,0.1339581,medium,False
train,23,batch_1/000054.jpg,batch_1_000054.jpg,65,1,bottle,"605.00,259.00,379.00,1196.00","0.516916,0.418253,0.246584,0.583699",1537,2049,0.14393107,medium,False
train,23,batch_1/000054.jpg,batch_1_000054.jpg,66,1,bottle,"1051.00,202.00,486.00,1078.00","0.841900,0.361640,0.316200,0.526110",1537,2049,0.16635628,medium,False
train,23,batch_1/000054.jpg,batch_1_000054.jpg,67,2,bottle_cap,"1263.00,202.00,273.00,302.00","0.910540,0.172279,0.177619,0.147389",1537,2049,0.02617904,small,False
train,24,batch_1/000061.jpg,batch_1_000061.jpg,68,3,can,"274.00,723.00,663.00,846.00","0.393949,0.559297,0.431360,0.412884",1537,2049,0.1781017,medium,False
val,25,batch_1/000021.jpg,batch_1_000021.jpg,69,1,bottle,"852.00,638.00,687.00,291.00","0.583455,0.509759,0.335286,0.189330",2049,1537,0.06347956,medium,False
val,25,batch_1/000021.jpg,batch_1_000021.jpg,70,0,bag_wrapper,"256.00,705.00,678.00,417.00","0.290386,0.594340,0.330893,0.271308",2049,1537,0.08977386,medium,False
train,26,batch_1/000022.jpg,batch_1_000022.jpg,71,1,bottle,"647.00,1033.00,820.00,376.00","0.515861,0.794405,0.400195,0.244632",2049,1537,0.09790072,medium,False
train,26,batch_1/000022.jpg,batch_1_000022.jpg,72,0,bag_wrapper,"313.00,1400.00,414.00,135.00","0.253782,0.954782,0.202050,0.087833",2049,1537,0.01774673,small,False
train,27,batch_1/000023.jpg,batch_1_000023.jpg,73,1,bottle,"372.00,1441.00,293.00,221.00","0.337345,0.757199,0.190631,0.107857",1537,2049,0.02056099,small,False
train,27,batch_1/000023.jpg,batch_1_000023.jpg,74,3,can,"1015.00,979.00,190.00,214.00","0.722186,0.530015,0.123617,0.104441",1537,2049,0.01291075,small,False
train,27,batch_1/000023.jpg,batch_1_000023.jpg,75,3,can,"904.00,1493.00,168.00,166.00","0.642811,0.769156,0.109304,0.081015",1537,2049,0.00885526,tiny,False
train,27,batch_1/000023.jpg,batch_1_000023.jpg,76,3,can,"683.00,1550.00,221.00,103.00","0.516265,0.781601,0.143787,0.050268",1537,2049,0.00722793,tiny,False
train,27,batch_1/000023.jpg,batch_1_000023.jpg,77,3,can,"1043.00,792.00,144.00,164.00","0.725439,0.426550,0.093689,0.080039",1537,2049,0.00749878,tiny,False
train,27,batch_1/000023.jpg,batch_1_000023.jpg,79,2,bottle_cap,"371.00,1437.00,31.00,49.00","0.251464,0.713275,0.020169,0.023914",1537,2049,0.00048233,tiny,False
train,28,batch_1/000024.jpg,batch_1_000024.jpg,80,3,can,"218.00,1457.00,273.00,273.00","0.230644,0.777696,0.177619,0.133236",1537,2049,0.02366516,small,False
train,28,batch_1/000024.jpg,batch_1_000024.jpg,81,3,can,"634.00,860.00,227.00,232.00","0.486337,0.476330,0.147690,0.113226",1537,2049,0.01672238,small,False
train,28,batch_1/000024.jpg,batch_1_000024.jpg,82,1,bottle,"463.00,1112.00,126.00,162.00","0.342225,0.582235,0.081978,0.079063",1537,2049,0.00648141,tiny,False
train,29,batch_1/000027.jpg,batch_1_000027.jpg,83,3,can,"668.00,717.00,455.00,655.00","0.582628,0.509761,0.296031,0.319668",1537,2049,0.09463175,medium,False
train,30,batch_1/000028.jpg,batch_1_000028.jpg,283,5,cigarette,"454.00,1437.00,36.00,102.00","0.307092,0.726208,0.023422,0.049780",1537,2049,0.00116597,tiny,False
val,31,batch_1/000030.jpg,batch_1_000030.jpg,85,3,can,"604.00,1052.00,187.00,320.00","0.453806,0.591508,0.121666,0.156174",1537,2049,0.01900097,small,False
train,32,batch_1/000031.jpg,batch_1_000031.jpg,86,3,can,"470.00,1040.00,413.00,321.00","0.440143,0.585896,0.268705,0.156662",1537,2049,0.04209585,small,False
train,33,batch_1/000042.jpg,batch_1_000042.jpg,87,3,can,"664.00,619.00,239.00,270.00","0.382382,0.490566,0.116642,0.175667",2049,1537,0.02049018,small,False
train,33,batch_1/000042.jpg,batch_1_000042.jpg,88,3,can,"1179.00,662.00,286.00,265.00","0.645193,0.516916,0.139580,0.172414",2049,1537,0.02406557,small,False
train,34,batch_1/000050.jpg,batch_1_000050.jpg,91,3,can,"642.00,854.00,833.00,804.00","0.688679,0.612982,0.541965,0.392387",1537,2049,0.21265971,large,False
train,34,batch_1/000050.jpg,batch_1_000050.jpg,92,0,bag_wrapper,"124.00,735.00,392.00,550.00","0.208198,0.492923,0.255042,0.268424",1537,2049,0.06845938,medium,False
train,35,batch_1/000059.jpg,batch_1_000059.jpg,93,3,can,"656.00,705.00,319.00,841.00","0.530579,0.549292,0.207547,0.410444",1537,2049,0.08518652,medium,False
train,35,batch_1/000059.jpg,batch_1_000059.jpg,96,4,carton,"1032.00,281.00,28.00,146.00","0.680547,0.172767,0.018217,0.071254",1537,2049,0.00129806,tiny,False
train,36,batch_1/000000.jpg,batch_1_000000.jpg,97,1,bottle,"710.00,1225.00,153.00,198.00","0.511711,0.646169,0.099545,0.096633",1537,2049,0.00961924,tiny,False
train,37,batch_1/000013.jpg,batch_1_000013.jpg,98,1,bottle,"811.00,1123.00,199.00,350.00","0.592388,0.633480,0.129473,0.170815",1537,2049,0.02211593,small,False
train,38,batch_1/000015.jpg,batch_1_000015.jpg,99,0,bag_wrapper,"1346.00,1367.00,191.00,292.00","0.937866,0.738409,0.124268,0.142509",1537,2049,0.01770926,small,False
train,38,batch_1/000015.jpg,batch_1_000015.jpg,100,0,bag_wrapper,"828.00,1058.00,193.00,187.00","0.601496,0.561981,0.125569,0.091264",1537,2049,0.01145996,small,False
test,39,batch_1/000016.jpg,batch_1_000016.jpg,101,1,bottle,"593.00,934.00,432.00,238.00","0.526350,0.513909,0.281067,0.116154",1537,2049,0.03264712,small,False
train,40,batch_1/000017.jpg,batch_1_000017.jpg,102,1,bottle,"713.00,530.00,191.00,373.00","0.526025,0.349683,0.124268,0.182040",1537,2049,0.02262176,small,False
train,41,batch_1/000025.jpg,batch_1_000025.jpg,103,3,can,"323.00,1055.00,487.00,352.00","0.368575,0.600781,0.316851,0.171791",1537,2049,0.05443219,medium,False
train,42,batch_1/000029.jpg,batch_1_000029.jpg,106,3,can,"652.00,874.00,425.00,689.00","0.562459,0.594680,0.276513,0.336262",1537,2049,0.0929806,medium,False
train,43,batch_1/000035.jpg,batch_1_000035.jpg,107,1,bottle,"33.00,230.00,602.00,1316.00","0.217306,0.433382,0.391672,0.642265",1537,2049,0.25155709,large,False
train,43,batch_1/000035.jpg,batch_1_000035.jpg,108,1,bottle,"807.00,103.00,710.00,1613.00","0.756018,0.443875,0.461939,0.787213",1537,2049,0.36364439,large,False
train,43,batch_1/000035.jpg,batch_1_000035.jpg,109,6,cup,"886.00,522.00,314.00,432.00","0.678595,0.360176,0.204294,0.210835",1537,2049,0.04307225,small,False
train,44,batch_1/000037.jpg,batch_1_000037.jpg,110,3,can,"929.00,557.00,379.00,500.00","0.545876,0.525049,0.184968,0.325309",2049,1537,0.06017185,medium,False
train,44,batch_1/000037.jpg,batch_1_000037.jpg,111,3,can,"494.00,531.00,372.00,533.00","0.331869,0.518868,0.181552,0.346779",2049,1537,0.06295849,medium,False
train,44,batch_1/000037.jpg,batch_1_000037.jpg,112,3,can,"709.00,271.00,296.00,482.00","0.418253,0.333116,0.144461,0.313598",2049,1537,0.04530258,small,False
train,45,batch_1/000045.jpg,batch_1_000045.jpg,115,3,can,"564.00,1303.00,522.00,233.00","0.402635,0.923552,0.254758,0.151594",2049,1537,0.03861985,small,False
train,45,batch_1/000045.jpg,batch_1_000045.jpg,116,3,can,"0.00,452.00,437.00,504.00","0.106637,0.458035,0.213275,0.327912",2049,1537,0.06993525,medium,False
train,45,batch_1/000045.jpg,batch_1_000045.jpg,117,3,can,"395.00,475.00,424.00,486.00","0.296242,0.467144,0.206930,0.316200",2049,1537,0.06543141,medium,False
train,45,batch_1/000045.jpg,batch_1_000045.jpg,118,3,can,"804.00,465.00,339.00,501.00","0.475110,0.465517,0.165447,0.325960",2049,1537,0.0539289,medium,False
train,45,batch_1/000045.jpg,batch_1_000045.jpg,119,3,can,"1128.00,327.00,496.00,648.00","0.671547,0.423552,0.242069,0.421601",2049,1537,0.10205654,medium,False
train,45,batch_1/000045.jpg,batch_1_000045.jpg,120,3,can,"1583.00,315.00,466.00,669.00","0.886286,0.422576,0.227428,0.435264",2049,1537,0.09899111,medium,False
val,46,batch_1/000038.jpg,batch_1_000038.jpg,121,3,can,"238.00,686.00,401.00,475.00","0.214007,0.600846,0.195705,0.309044",2049,1537,0.06048144,medium,False
val,46,batch_1/000038.jpg,batch_1_000038.jpg,122,3,can,"802.00,410.00,413.00,344.00","0.492191,0.378660,0.201562,0.223813",2049,1537,0.04511206,small,False
val,46,batch_1/000038.jpg,batch_1_000038.jpg,123,3,can,"1498.00,636.00,405.00,477.00","0.829917,0.568966,0.197657,0.310345",2049,1537,0.06134195,medium,False
train,47,batch_1/000065.JPG,batch_1_000065.JPG,129,4,carton,"1824.00,475.00,1028.00,735.00","0.716299,0.344158,0.314951,0.300245",3264,2448,0.09456249,medium,False
train,47,batch_1/000065.JPG,batch_1_000065.JPG,130,4,carton,"1183.00,55.00,1006.00,1054.00","0.516544,0.237745,0.308211,0.430556",3264,2448,0.13270187,medium,False
train,48,batch_1/000066.JPG,batch_1_000066.JPG,131,4,carton,"413.00,1120.00,1143.00,922.00","0.301624,0.645833,0.350184,0.376634",3264,2448,0.13189113,medium,False
val,49,batch_1/000067.JPG,batch_1_000067.JPG,132,4,carton,"31.00,194.00,1700.00,2107.00","0.359886,0.382200,0.694444,0.645527",2448,3264,0.44828261,large,False
train,50,batch_1/000068.JPG,batch_1_000068.JPG,133,7,straw,"898.00,1777.00,770.00,197.00","0.524101,0.574602,0.314542,0.060355",2448,3264,0.01898433,small,False
train,50,batch_1/000068.JPG,batch_1_000068.JPG,284,5,cigarette,"170.00,1508.00,86.00,154.00","0.087010,0.485600,0.035131,0.047181",2448,3264,0.00165752,tiny,False
train,50,batch_1/000068.JPG,batch_1_000068.JPG,285,5,cigarette,"130.00,1348.00,78.00,98.00","0.069036,0.428002,0.031863,0.030025",2448,3264,0.00095666,tiny,False
test,51,batch_1/000069.JPG,batch_1_000069.JPG,134,3,can,"1050.00,1654.00,410.00,353.00","0.512663,0.560815,0.167484,0.108150",2448,3264,0.01811328,small,False
train,52,batch_1/000070.JPG,batch_1_000070.JPG,135,3,can,"1038.00,1111.00,255.00,637.00","0.476103,0.437960,0.104167,0.195159",2448,3264,0.0203291,small,False
train,53,batch_1/000071.JPG,batch_1_000071.JPG,136,4,carton,"1024.00,1397.00,556.00,592.00","0.531863,0.518689,0.227124,0.181373",2448,3264,0.04119409,small,False
train,54,batch_1/000072.JPG,batch_1_000072.JPG,137,0,bag_wrapper,"704.00,1301.00,683.00,591.00","0.427083,0.489124,0.279003,0.181066",2448,3264,0.05051805,medium,False
train,54,batch_1/000072.JPG,batch_1_000072.JPG,286,5,cigarette,"968.00,2492.00,138.00,126.00","0.423611,0.782782,0.056373,0.038603",2448,3264,0.00217615,tiny,False
train,55,batch_1/000073.JPG,batch_1_000073.JPG,139,3,can,"940.00,837.00,492.00,711.00","0.484477,0.365349,0.200980,0.217831",2448,3264,0.04377974,small,False
train,56,batch_1/000074.JPG,batch_1_000074.JPG,140,6,cup,"1205.00,1905.00,211.00,271.00","0.535335,0.625153,0.086193,0.083027",2448,3264,0.00715633,tiny,False
train,56,batch_1/000074.JPG,batch_1_000074.JPG,287,5,cigarette,"1776.00,1222.00,38.00,10.00","0.733252,0.375919,0.015523,0.003064",2448,3264,4.756e-05,tiny,False
train,57,batch_1/000076.JPG,batch_1_000076.JPG,141,7,straw,"603.00,1908.00,382.00,359.00","0.324346,0.639553,0.156046,0.109988",2448,3264,0.01716312,small,False
train,57,batch_1/000076.JPG,batch_1_000076.JPG,288,5,cigarette,"548.00,1836.00,52.00,52.00","0.234477,0.570466,0.021242,0.015931",2448,3264,0.00033841,tiny,False
train,57,batch_1/000076.JPG,batch_1_000076.JPG,289,5,cigarette,"368.00,1658.00,56.00,58.00","0.161765,0.516850,0.022876,0.017770",2448,3264,0.00040649,tiny,False
train,57,batch_1/000076.JPG,batch_1_000076.JPG,290,5,cigarette,"302.00,1634.00,76.00,80.00","0.138889,0.512868,0.031046,0.024510",2448,3264,0.00076093,tiny,False
train,57,batch_1/000076.JPG,batch_1_000076.JPG,291,5,cigarette,"54.00,1340.00,60.00,62.00","0.034314,0.420037,0.024510,0.018995",2448,3264,0.00046557,tiny,False
train,57,batch_1/000076.JPG,batch_1_000076.JPG,292,5,cigarette,"1180.00,876.00,74.00,70.00","0.497141,0.279105,0.030229,0.021446",2448,3264,0.00064829,tiny,False
train,57,batch_1/000076.JPG,batch_1_000076.JPG,293,5,cigarette,"1026.00,1004.00,70.00,70.00","0.433415,0.318321,0.028595,0.021446",2448,3264,0.00061325,tiny,False
train,58,batch_1/000078.JPG,batch_1_000078.JPG,142,0,bag_wrapper,"421.00,1009.00,1362.00,1946.00","0.450163,0.607230,0.556373,0.596201",2448,3264,0.33170986,large,False
train,59,batch_1/000079.JPG,batch_1_000079.JPG,143,0,bag_wrapper,"257.00,1089.00,1712.00,1781.00","0.454657,0.606464,0.699346,0.545650",2448,3264,0.38159802,large,False
train,60,batch_1/000081.JPG,batch_1_000081.JPG,144,1,bottle,"749.00,1972.00,444.00,284.00","0.396650,0.647672,0.181373,0.087010",2448,3264,0.01578119,small,False
train,60,batch_1/000081.JPG,batch_1_000081.JPG,145,2,bottle_cap,"1135.00,1972.00,57.00,91.00","0.475286,0.618107,0.023284,0.027880",2448,3264,0.00064916,tiny,False
train,60,batch_1/000081.JPG,batch_1_000081.JPG,294,5,cigarette,"1388.00,2610.00,64.00,96.00","0.580065,0.814338,0.026144,0.029412",2448,3264,0.00076894,tiny,False
train,61,batch_1/000082.JPG,batch_1_000082.JPG,146,0,bag_wrapper,"966.00,1399.00,525.00,485.00","0.501838,0.502911,0.214461,0.148591",2448,3264,0.03186688,small,False
test,62,batch_1/000083.JPG,batch_1_000083.JPG,147,6,cup,"942.00,950.00,494.00,504.00","0.485703,0.368260,0.201797,0.154412",2448,3264,0.03115989,small,False
val,63,batch_1/000084.JPG,batch_1_000084.JPG,149,6,cup,"701.00,2191.00,605.00,559.00","0.409926,0.756893,0.247141,0.171262",2448,3264,0.04232584,small,False
val,63,batch_1/000084.JPG,batch_1_000084.JPG,151,3,can,"1090.00,411.00,170.00,148.00","0.479984,0.148591,0.069444,0.045343",2448,3264,0.00314883,tiny,False
val,63,batch_1/000084.JPG,batch_1_000084.JPG,152,3,can,"1905.00,284.00,146.00,151.00","0.808007,0.110141,0.059641,0.046262",2448,3264,0.00275911,tiny,False
train,64,batch_1/000085.JPG,batch_1_000085.JPG,153,7,straw,"871.00,1258.00,841.00,313.00","0.527574,0.433364,0.343546,0.095895",2448,3264,0.03294419,small,False
train,64,batch_1/000085.JPG,batch_1_000085.JPG,295,5,cigarette,"1338.00,1236.00,74.00,46.00","0.561683,0.385723,0.030229,0.014093",2448,3264,0.00042602,tiny,False
train,64,batch_1/000085.JPG,batch_1_000085.JPG,296,5,cigarette,"1536.00,1146.00,118.00,32.00","0.651552,0.356005,0.048203,0.009804",2448,3264,0.00047257,tiny,False
train,64,batch_1/000085.JPG,batch_1_000085.JPG,297,5,cigarette,"1590.00,1214.00,124.00,86.00","0.674837,0.385110,0.050654,0.026348",2448,3264,0.00133462,tiny,False
train,64,batch_1/000085.JPG,batch_1_000085.JPG,298,5,cigarette,"1676.00,1424.00,34.00,102.00","0.691585,0.451900,0.013889,0.031250",2448,3264,0.00043403,tiny,False
train,64,batch_1/000085.JPG,batch_1_000085.JPG,299,5,cigarette,"1710.00,1472.00,104.00,40.00","0.719771,0.457108,0.042484,0.012255",2448,3264,0.00052063,tiny,False
train,64,batch_1/000085.JPG,batch_1_000085.JPG,300,5,cigarette,"1854.00,1278.00,28.00,82.00","0.763072,0.404105,0.011438,0.025123",2448,3264,0.00028735,tiny,False
train,65,batch_1/000086.JPG,batch_1_000086.JPG,301,5,cigarette,"740.00,540.00,122.00,62.00","0.327206,0.174939,0.049837,0.018995",2448,3264,0.00094665,tiny,False
train,65,batch_1/000086.JPG,batch_1_000086.JPG,302,5,cigarette,"1396.00,1630.00,124.00,86.00","0.595588,0.512561,0.050654,0.026348",2448,3264,0.00133462,tiny,False
train,66,batch_1/000087.JPG,batch_1_000087.JPG,157,0,bag_wrapper,"1018.00,1125.00,358.00,397.00","0.488971,0.405484,0.146242,0.121630",2448,3264,0.01778738,small,False
train,66,batch_1/000087.JPG,batch_1_000087.JPG,303,5,cigarette,"148.00,816.00,60.00,72.00","0.072712,0.261029,0.024510,0.022059",2448,3264,0.00054066,tiny,False
train,67,batch_1/000088.JPG,batch_1_000088.JPG,158,3,can,"311.00,1648.00,865.00,853.00","0.303717,0.635570,0.353350,0.261336",2448,3264,0.09234291,medium,False
train,68,batch_1/000090.JPG,batch_1_000090.JPG,162,3,can,"608.00,439.00,931.00,1192.00","0.438521,0.317096,0.380310,0.365196",2448,3264,0.13888789,medium,False
train,69,batch_1/000091.JPG,batch_1_000091.JPG,165,2,bottle_cap,"2593.00,914.00,582.00,441.00","0.883578,0.463440,0.178309,0.180147",3264,2448,0.03212181,small,False
val,70,batch_1/000092.JPG,batch_1_000092.JPG,166,4,carton,"277.00,686.00,1133.00,1198.00","0.344567,0.393689,0.462827,0.367034",2448,3264,0.16987332,medium,False
val,70,batch_1/000092.JPG,batch_1_000092.JPG,168,0,bag_wrapper,"1535.00,926.00,614.00,525.00","0.752451,0.364124,0.250817,0.160846",2448,3264,0.04034281,small,False
train,72,batch_1/000094.JPG,batch_1_000094.JPG,170,0,bag_wrapper,"311.00,729.00,1507.00,1739.00","0.434845,0.489737,0.615605,0.532782",2448,3264,0.32798295,large,False
train,73,batch_1/000095.JPG,batch_1_000095.JPG,172,0,bag_wrapper,"620.00,1033.00,1749.00,2161.00","0.610498,0.647518,0.714461,0.662071",2448,3264,0.47302382,large,False
test,74,batch_1/000096.JPG,batch_1_000096.JPG,175,0,bag_wrapper,"597.00,1008.00,1218.00,1126.00","0.492647,0.481311,0.497549,0.344975",2448,3264,0.17164222,medium,False
